task_id,deadline_days,effort,impact,workload,priority_score,priority_label
170,6,1,5,7,7.3,High
171,24,16,2,2,-0.95,Low
172,22,1,4,4,3.163636364,Medium
173,12,13,8,1,3.9,Medium
174,28,11,2,1,-0.128571429,Low
175,5,7,7,7,8.1,High
176,9,13,2,2,1.733333333,Low
177,22,1,3,3,2.663636364,Medium
178,13,6,7,9,4.607692308,Medium
179,8,16,5,2,3.05,Medium
180,3,7,2,6,9.6,High
181,4,4,8,2,10.7,High
182,8,13,2,9,2.15,Medium
183,3,7,4,4,10.6,High
184,2,19,1,4,11.7,High
185,11,13,5,1,2.627272727,Medium
186,6,9,3,8,4.7,Medium
187,14,2,7,9,5.242857143,High
188,7,12,6,4,4.885714286,Medium
189,9,17,4,6,1.933333333,Low
190,21,14,6,5,1.628571429,Low
191,28,9,5,8,1.771428571,Low
192,29,10,5,5,1.534482759,Low
193,26,3,5,1,3.053846154,Medium
194,27,1,6,4,3.911111111,Medium
195,9,18,4,7,1.733333333,Low
196,12,15,3,9,1,Low
197,2,9,7,5,16.7,High
198,11,14,3,9,1.427272727,Low
199,29,6,2,7,0.834482759,Low
200,4,12,7,1,8.6,High
201,10,4,8,2,6.2,High
202,16,11,3,2,1.175,Low
203,23,15,3,5,-0.195652174,Low
204,19,17,8,1,2.178947368,Medium
205,12,15,1,9,0,Low
206,25,19,6,6,0.4,Low
207,20,3,1,5,1.4,Low
208,23,3,6,7,3.704347826,Medium
209,2,7,6,7,16.6,High
210,16,6,5,6,3.175,Medium
211,27,19,3,8,-1.188888889,Low
212,6,11,6,3,5.8,High
213,18,11,1,9,-0.033333333,Low
214,8,16,6,2,3.55,Medium
215,22,18,2,6,-1.236363636,Low
216,15,2,3,3,3.1,Medium
217,12,11,6,1,3.3,Medium
218,12,13,6,4,2.9,Medium
219,12,9,2,4,1.7,Low
220,11,19,5,7,1.427272727,Low
221,3,13,6,8,10.4,High
222,15,4,3,9,2.7,Medium
223,20,5,6,3,3.5,Medium
224,23,18,8,5,1.704347826,Low
225,23,10,7,8,2.804347826,Medium
226,10,19,4,3,1.2,Low
227,20,4,4,1,2.7,Medium
228,2,10,3,6,14.5,High
229,1,7,4,7,30.6,
230,7,9,4,9,4.485714286,Medium
231,27,6,8,4,3.911111111,Medium
232,18,5,2,5,1.666666667,Low
233,15,8,1,1,0.9,Low
234,1,5,1,1,29.5,
235,18,17,5,1,0.766666667,Low
236,12,14,5,9,2.2,Medium
237,15,4,2,5,2.2,Medium
238,6,8,1,1,3.9,Medium
239,24,13,9,1,3.15,Medium
240,7,3,3,4,5.185714286,High
241,22,13,1,7,-0.736363636,Low
242,7,1,5,1,6.585714286,High
243,13,14,4,9,1.507692308,Low
244,9,6,3,2,3.633333333,Medium
245,21,12,8,2,3.028571429,Medium
246,29,5,8,3,4.034482759,Medium
247,1,4,4,2,31.2,
248,22,10,4,4,1.363636364,Low
249,29,11,2,8,-0.165517241,Low
250,23,9,9,1,4.004347826,Medium
251,9,8,7,8,5.233333333,High
252,2,12,3,2,14.1,High
253,10,12,8,8,4.6,Medium
254,18,17,3,9,-0.233333333,Low
255,4,8,5,1,8.4,High
256,22,12,2,1,-0.036363636,Low
257,1,2,5,1,32.1,
258,17,19,6,8,0.964705882,Low
259,23,8,7,5,3.204347826,Medium
260,28,13,4,8,0.471428571,Low
261,22,10,8,8,3.363636364,Medium
262,4,7,9,9,10.6,High
263,28,1,8,7,4.871428571,Medium
264,10,18,1,7,-0.1,Low
265,7,1,9,9,8.585714286,High
266,21,17,1,5,-1.471428571,Low
267,11,12,5,5,2.827272727,Medium
268,18,18,8,4,2.066666667,Medium
269,9,7,1,1,2.433333333,Medium
270,13,1,7,9,5.607692308,High
271,26,19,9,5,1.853846154,Low
272,17,7,5,3,2.864705882,Medium
273,2,8,3,2,14.9,High
274,17,9,6,5,2.964705882,Medium
275,12,16,7,1,2.8,Medium
276,21,5,5,4,2.928571429,Medium
277,25,17,8,5,1.8,Low
278,21,7,3,9,1.528571429,Low
279,25,1,8,4,5,Medium
280,14,13,3,8,1.042857143,Low
281,10,7,5,2,4.1,Medium
282,8,10,8,3,5.75,High
283,20,15,1,2,-1,Low
284,7,12,3,7,3.385714286,Medium
285,12,18,9,5,3.4,Medium
286,8,3,9,4,7.65,High
287,23,10,3,2,0.804347826,Low
288,25,19,4,7,-0.6,Low
289,1,10,9,7,32.5,
290,21,19,1,5,-1.871428571,Low
291,23,11,1,2,-0.395652174,Low
292,13,13,2,4,0.707692308,Low
293,11,7,5,8,3.827272727,Medium
294,1,16,6,4,29.8,
295,9,14,7,3,4.033333333,Medium
296,7,3,5,4,6.185714286,High
297,14,11,4,7,1.942857143,Low
298,17,18,9,2,2.664705882,Medium
299,19,8,5,6,2.478947368,Medium
300,23,15,1,4,-1.195652174,Low
301,23,4,2,8,1.504347826,Low
302,2,2,8,5,18.6,High
303,22,6,5,6,2.663636364,Medium
304,9,7,8,6,5.933333333,High
305,14,9,6,6,3.342857143,Medium
306,22,6,9,3,4.663636364,Medium
307,6,8,9,1,7.9,High
308,20,12,5,6,1.6,Low
309,8,1,9,8,8.05,High
310,16,6,2,4,1.675,Low
311,3,12,9,2,12.1,High
312,13,19,5,5,1.007692308,Low
313,23,15,3,5,-0.195652174,Low
314,17,19,9,2,2.464705882,Medium
315,4,10,8,6,9.5,High
316,28,13,6,7,1.471428571,Low
317,4,3,7,9,10.4,High
318,11,12,2,9,1.327272727,Low
319,23,18,3,9,-0.795652174,Low
320,16,4,1,5,1.575,Low
321,4,11,1,3,5.8,High
322,21,16,7,3,1.728571429,Low
323,11,3,8,5,6.127272727,High
324,6,10,1,4,3.5,Medium
325,27,13,9,5,3.011111111,Medium
326,22,3,7,1,4.263636364,Medium
327,10,1,3,5,4.3,Medium
328,25,8,9,8,4.1,Medium
329,27,16,4,2,-0.088888889,Low
330,8,1,7,7,7.05,High
331,27,4,8,5,4.311111111,Medium
332,4,16,4,3,6.3,High
333,28,19,8,5,1.271428571,Low
334,19,8,8,8,3.978947368,Medium
335,14,1,1,1,2.442857143,Medium
336,11,7,8,6,5.327272727,High
337,12,1,4,9,4.3,Medium
338,25,16,6,5,1,Low
339,9,9,3,1,3.033333333,Medium
340,10,13,8,8,4.4,Medium
341,25,12,9,2,3.3,Medium
342,11,14,8,5,3.927272727,Medium
343,29,6,7,5,3.334482759,Medium
344,13,5,6,1,4.307692308,Medium
345,1,19,3,6,27.7,
346,27,13,2,9,-0.488888889,Low
347,26,4,9,3,4.853846154,Medium
348,8,18,6,2,3.15,Medium
349,16,5,1,2,1.375,Low
350,4,12,6,6,8.1,High
351,19,3,4,3,2.978947368,Medium
352,17,12,3,9,0.864705882,Low
353,24,6,1,8,0.55,Low
354,10,10,2,5,2,Low
355,20,8,6,2,2.9,Medium
356,20,4,9,6,5.2,High
357,15,14,3,5,0.7,Low
358,8,15,4,5,2.75,Medium
359,8,5,8,7,6.75,High
360,4,6,9,7,10.8,High
361,3,15,5,7,9.5,High
362,11,8,7,7,4.627272727,Medium
363,23,13,5,5,1.204347826,Low
364,29,11,9,3,3.334482759,Medium
365,19,6,5,6,2.878947368,Medium
366,3,11,6,9,10.8,High
367,12,19,8,7,2.7,Medium
368,21,4,4,8,2.628571429,Medium
369,14,8,9,6,5.042857143,High
370,19,10,1,9,0.078947368,Low
371,14,9,8,6,4.342857143,Medium
372,29,2,4,1,2.634482759,Medium
373,19,7,2,7,1.178947368,Low
374,6,5,4,4,6,High
375,22,4,5,5,3.063636364,Medium
376,13,11,6,8,3.107692308,Medium
377,18,9,1,2,0.366666667,Low
378,12,11,4,4,2.3,Medium
379,12,3,3,5,3.4,Medium
380,27,5,9,5,4.611111111,Medium
381,15,18,7,9,1.9,Low
382,24,7,7,3,3.35,Medium
383,8,14,6,7,3.95,Medium
384,2,17,5,1,14.1,High
385,21,13,2,2,-0.171428571,Low
386,4,9,4,6,7.7,High
387,9,2,8,8,6.933333333,High
388,29,9,6,8,2.234482759,Medium
389,18,9,2,7,0.866666667,Low
390,19,9,5,8,2.278947368,Medium
391,15,2,8,6,5.6,High
392,17,17,6,8,1.364705882,Low
393,3,10,5,2,10.5,High
394,6,3,5,1,6.9,High
395,6,2,6,3,7.6,High
396,17,13,3,5,0.664705882,Low
397,28,3,1,8,0.971428571,Low
398,27,11,3,5,0.411111111,Low
399,12,16,5,5,1.8,Low
400,15,15,7,7,2.5,Medium
401,24,18,5,5,0.15,Low
402,13,8,6,2,3.707692308,Medium
403,8,3,2,8,4.15,Medium
404,8,19,9,8,4.45,Medium
405,12,8,5,4,3.4,Medium
406,10,13,7,5,3.9,Medium
407,9,17,4,9,1.933333333,Low
408,7,13,7,6,5.185714286,High
409,8,15,1,9,1.25,Low
410,17,8,3,8,1.664705882,Low
411,1,4,5,8,31.7,
412,27,12,8,5,2.711111111,Medium
413,21,6,7,5,3.728571429,Medium
414,27,17,7,1,1.211111111,Low
415,20,14,6,1,1.7,Low
416,8,12,9,4,5.85,High
417,12,18,3,7,0.4,Low
418,15,9,8,1,4.2,Medium
419,14,14,4,4,1.342857143,Low
420,12,15,5,2,2,Low
421,15,15,6,4,2,Low
422,3,7,4,5,10.6,High
423,15,9,1,5,0.7,Low
424,2,14,8,9,16.2,High
425,23,8,6,6,2.704347826,Medium
426,18,6,5,7,2.966666667,Medium
427,17,9,7,6,3.464705882,Medium
428,27,16,2,5,-1.088888889,Low
429,25,18,2,5,-1.4,Low
430,21,14,7,6,2.128571429,Medium
431,21,16,8,4,2.228571429,Medium
432,2,9,1,4,13.7,High
433,18,1,3,7,2.966666667,Medium
434,11,19,2,6,-0.072727273,Low
435,9,15,1,2,0.833333333,Low
436,10,7,9,9,6.1,High
437,25,7,6,4,2.8,Medium
438,8,9,1,1,2.45,Medium
439,4,14,9,2,9.2,High
440,15,11,9,3,4.3,Medium
441,25,10,4,4,1.2,Low
442,13,13,8,9,3.707692308,Medium
443,28,14,1,4,-1.228571429,Low
444,18,15,3,9,0.166666667,Low
445,25,4,5,8,2.9,Medium
446,3,19,1,2,6.7,High
447,13,13,6,8,2.707692308,Medium
448,22,9,4,9,1.563636364,Low
449,12,11,8,7,4.3,Medium
450,12,11,5,2,2.8,Medium
451,16,11,1,6,0.175,Low
452,5,15,7,9,6.5,High
453,17,8,5,6,2.664705882,Medium
454,13,4,4,2,3.507692308,Medium
455,22,6,3,1,1.663636364,Low
456,5,6,4,7,6.8,High
457,26,5,7,3,3.653846154,Medium
458,2,14,5,8,14.7,High
459,27,13,8,7,2.511111111,Medium
460,6,9,8,7,7.2,High
461,9,16,4,4,2.133333333,Medium
462,27,4,1,2,0.811111111,Low
463,5,17,7,1,6.1,High
464,6,7,3,7,5.1,High
465,19,9,6,2,2.778947368,Medium
466,24,3,3,4,2.15,Medium
467,8,14,7,2,4.45,Medium
468,12,8,4,2,2.9,Medium
469,12,14,6,5,2.7,Medium
470,24,1,7,3,4.55,Medium
471,25,14,1,3,-1.1,Low
472,21,3,8,4,4.828571429,Medium
473,14,4,7,1,4.842857143,Medium
474,17,7,6,2,3.364705882,Medium
475,5,9,6,5,7.2,High
476,17,17,6,4,1.364705882,Low
477,19,3,6,8,3.978947368,Medium
478,6,19,7,9,4.7,Medium
479,21,7,8,1,4.028571429,Medium
480,20,4,2,8,1.7,Low
481,16,11,2,9,0.675,Low
482,1,9,4,1,30.2,
483,4,16,6,9,7.3,High
484,26,17,2,8,-1.246153846,Low
485,1,15,3,9,28.5,
486,18,7,3,2,1.766666667,Low
487,9,9,9,8,6.033333333,High
488,10,8,6,2,4.4,Medium
489,27,4,3,7,1.811111111,Low
490,8,19,5,1,2.45,Medium
491,13,4,9,8,6.007692308,High
492,27,14,5,2,0.811111111,Low
493,21,4,5,3,3.128571429,Medium
494,29,1,1,5,1.334482759,Low
495,14,4,1,4,1.842857143,Low
496,14,15,9,2,3.642857143,Medium
497,13,13,7,5,3.207692308,Medium
498,20,1,4,3,3.3,Medium
499,25,17,7,1,1.3,Low
500,27,3,7,3,4.011111111,Medium
501,9,3,4,9,4.733333333,Medium
502,25,12,8,4,2.8,Medium
503,22,15,1,8,-1.136363636,Low
504,29,19,5,9,-0.265517241,Low
505,20,14,9,9,3.2,Medium
506,13,1,8,9,6.107692308,High
507,13,6,3,3,2.607692308,Medium
508,12,14,1,9,0.2,Low
509,19,19,2,3,-1.221052632,Low
510,8,9,9,6,6.45,High
511,19,2,1,5,1.678947368,Low
512,7,1,5,6,6.585714286,High
513,11,11,2,4,1.527272727,Low
514,17,8,4,8,2.164705882,Medium
515,24,8,7,6,3.15,Medium
516,25,17,9,7,2.3,Medium
517,19,10,4,9,1.578947368,Low
518,3,4,8,6,13.2,High
519,23,5,6,3,3.304347826,Medium
520,29,17,6,2,0.634482759,Low
521,22,5,7,5,3.863636364,Medium
522,23,17,6,1,0.904347826,Low
523,28,4,5,5,2.771428571,Medium
524,5,16,8,4,6.8,High
525,11,18,1,5,-0.372727273,Low
526,18,13,3,7,0.566666667,Low
527,20,3,4,8,2.9,Medium
528,16,5,4,8,2.875,Medium
529,9,19,8,2,3.533333333,Medium
530,17,7,9,4,4.864705882,Medium
531,26,11,1,8,-0.546153846,Low
532,29,12,2,6,-0.365517241,Low
533,26,12,1,8,-0.746153846,Low
534,21,16,4,3,0.228571429,Low
535,4,13,3,3,6.4,High
536,9,6,3,4,3.633333333,Medium
537,21,19,6,2,0.628571429,Low
538,29,15,2,8,-0.965517241,Low
539,11,4,5,7,4.427272727,Medium
540,18,12,2,4,0.266666667,Low
541,16,17,7,2,1.975,Low
542,18,2,5,2,3.766666667,Medium
543,29,3,2,6,1.434482759,Low
544,18,19,7,6,1.366666667,Low
545,20,13,7,9,2.4,Medium
546,27,17,8,8,1.711111111,Low
547,28,12,5,6,1.171428571,Low
548,7,16,4,3,3.085714286,Medium
549,7,1,8,6,8.085714286,High
550,27,9,1,5,-0.188888889,Low
551,10,18,3,7,0.9,Low
552,4,17,4,9,6.1,High
553,22,17,3,2,-0.536363636,Low
554,21,18,9,9,2.328571429,Medium
555,5,7,2,6,5.6,High
556,2,10,1,9,13.5,High
557,22,12,5,3,1.463636364,Low
558,10,4,3,5,3.7,Medium
559,13,8,6,2,3.707692308,Medium
560,22,7,2,4,0.963636364,Low
561,5,13,9,7,7.9,High
562,29,10,2,8,0.034482759,Low
563,9,19,1,5,0.033333333,Low
564,6,1,1,9,5.3,High
565,8,19,4,8,1.95,Low
566,9,2,1,5,3.433333333,Medium
567,26,14,6,8,1.353846154,Low
568,9,4,5,6,5.033333333,High
569,1,1,3,9,31.3,
570,11,8,8,9,5.127272727,High
571,2,15,1,3,12.5,High
572,26,18,9,9,2.053846154,Medium
573,11,13,4,2,2.127272727,Medium
574,17,19,4,4,-0.035294118,Low
575,1,11,7,1,31.3,
576,17,16,6,2,1.564705882,Low
577,3,8,1,7,8.9,High
578,2,10,6,2,16,High
579,16,7,3,9,1.975,Low
580,12,16,5,8,1.8,Low
581,19,3,2,6,1.978947368,Low
582,12,8,1,6,1.4,Low
583,20,7,5,1,2.6,Medium
584,10,10,6,5,4,Medium
585,1,17,4,2,28.6,
586,8,19,1,2,0.45,Low
587,28,19,9,8,1.771428571,Low
588,20,15,7,6,2,Low
589,27,2,3,6,2.211111111,Medium
590,24,13,8,4,2.65,Medium
591,22,1,9,4,5.663636364,High
592,8,15,4,5,2.75,Medium
593,15,14,7,4,2.7,Medium
594,16,12,7,6,2.975,Medium
595,7,14,3,3,2.985714286,Medium
596,12,6,8,7,5.3,High
597,2,16,8,1,15.8,High
598,3,12,5,7,10.1,High
599,11,5,6,1,4.727272727,Medium
600,10,5,6,5,5,Medium
601,20,4,5,4,3.2,Medium
602,4,12,4,7,7.1,High
603,27,2,8,9,4.711111111,Medium
604,11,18,2,1,0.127272727,Low
605,18,16,9,3,2.966666667,Medium
606,11,19,2,1,-0.072727273,Low
607,3,14,1,9,7.7,High
608,13,3,9,8,6.207692308,High
609,5,6,6,2,7.8,High
610,14,9,1,1,0.842857143,Low
611,23,4,6,1,3.504347826,Medium
612,16,15,7,9,2.375,Medium
613,1,17,2,4,27.6,
614,28,17,9,7,2.171428571,Medium
615,20,1,5,6,3.8,Medium
616,24,19,7,4,0.95,Low
617,2,11,3,1,14.3,High
618,3,8,8,8,12.4,High
619,4,9,7,4,9.2,High
620,26,10,7,7,2.653846154,Medium
621,10,2,7,8,6.1,High
622,7,6,6,7,6.085714286,High
623,17,18,5,1,0.664705882,Low
624,4,17,2,8,5.1,High
625,12,11,6,3,3.3,Medium
626,1,11,3,2,29.3,
627,1,19,5,6,28.7,
628,14,12,3,2,1.242857143,Low
629,17,11,5,2,2.064705882,Medium
630,7,3,2,2,4.685714286,Medium
631,1,16,3,3,28.3,
632,17,18,1,8,-1.335294118,Low
633,22,17,9,5,2.463636364,Medium
634,22,8,8,3,3.763636364,Medium
635,26,10,5,8,1.653846154,Low
636,24,9,3,2,0.95,Low
637,24,3,2,1,1.65,Low
638,1,18,2,9,27.4,
639,24,17,9,5,2.35,Medium
640,1,10,8,1,32,
641,28,14,1,1,-1.228571429,Low
642,6,1,1,3,5.3,High
643,6,17,3,7,3.1,Medium
644,5,3,4,9,7.4,High
645,6,12,9,2,7.1,High
646,2,9,5,9,15.7,High
647,20,4,7,9,4.2,Medium
648,12,19,5,9,1.2,Low
649,21,6,8,9,4.228571429,Medium
650,3,4,4,6,11.2,High
651,15,9,2,2,1.2,Low
652,22,7,6,6,2.963636364,Medium
653,5,19,7,7,5.7,High
654,21,9,8,7,3.628571429,Medium
655,9,9,9,3,6.033333333,High
656,2,18,6,7,14.4,High
657,16,8,7,9,3.775,Medium
658,14,2,3,8,3.242857143,Medium
659,8,19,6,8,2.95,Medium
660,27,15,1,9,-1.388888889,Low
661,24,6,3,3,1.55,Low
662,20,10,1,9,0,Low
663,5,19,4,1,4.2,Medium
664,26,4,8,8,4.353846154,Medium
665,22,18,7,1,1.263636364,Low
666,5,16,4,5,4.8,Medium
667,23,5,9,6,4.804347826,Medium
668,11,19,6,2,1.927272727,Low
669,9,2,1,2,3.433333333,Medium
670,16,16,2,3,-0.325,Low
671,5,14,5,6,5.7,High
672,5,10,4,7,6,High
673,26,5,1,2,0.653846154,Low
674,16,14,7,1,2.575,Medium
675,10,13,5,4,2.9,Medium
676,13,9,2,3,1.507692308,Low
677,17,14,1,5,-0.535294118,Low
678,15,6,6,2,3.8,Medium
679,21,3,5,1,3.328571429,Medium
680,17,15,3,8,0.264705882,Low
681,18,6,9,6,4.966666667,Medium
682,27,19,8,1,1.311111111,Low
683,13,9,5,2,3.007692308,Medium
684,8,15,6,7,3.75,Medium
685,18,19,2,5,-1.133333333,Low
686,12,13,5,1,2.4,Medium
687,21,4,3,5,2.128571429,Medium
688,28,14,6,4,1.271428571,Low
689,7,19,2,1,1.485714286,Low
690,20,8,1,8,0.4,Low
691,27,17,2,1,-1.288888889,Low
692,9,2,9,6,7.433333333,High
693,20,17,2,2,-0.9,Low
694,4,5,6,8,9.5,High
695,23,6,4,3,2.104347826,Medium
696,9,18,4,4,1.733333333,Low
697,6,14,6,5,5.2,High
698,1,8,1,7,28.9,
699,6,10,7,8,6.5,High
700,13,10,7,4,3.807692308,Medium
701,26,10,3,4,0.653846154,Low
702,21,3,4,2,2.828571429,Medium
703,25,4,2,9,1.4,Low
704,28,6,3,4,1.371428571,Low
705,24,12,4,3,0.85,Low
706,16,10,9,3,4.375,Medium
707,15,6,2,8,1.8,Low
708,7,17,3,4,2.385714286,Medium
709,7,1,2,3,5.085714286,High
710,6,16,5,4,4.3,Medium
711,28,3,4,6,2.471428571,Medium
712,21,17,3,6,-0.471428571,Low
713,21,14,8,4,2.628571429,Medium
714,9,12,2,2,1.933333333,Low
715,16,17,5,9,0.975,Low
716,20,6,2,4,1.3,Low
717,13,4,6,8,4.507692308,Medium
718,11,6,6,2,4.527272727,Medium
719,2,9,7,9,16.7,High
720,8,17,4,7,2.35,Medium
721,11,1,7,2,6.027272727,High
722,14,19,7,2,1.842857143,Low
723,4,6,8,6,10.3,High
724,9,9,5,7,4.033333333,Medium
725,15,12,3,2,1.1,Low
726,28,17,6,6,0.671428571,Low
727,15,18,1,8,-1.1,Low
728,1,18,4,6,28.4,
729,5,12,3,6,5.1,High
730,3,14,6,9,10.2,High
731,13,3,3,4,3.207692308,Medium
732,18,4,6,7,3.866666667,Medium
733,21,9,5,1,2.128571429,Medium
734,22,19,5,7,0.063636364,Low
735,26,4,1,9,0.853846154,Low
736,25,8,6,9,2.6,Medium
737,29,4,2,1,1.234482759,Low
738,5,7,6,7,7.6,High
739,22,5,3,1,1.863636364,Low
740,28,2,5,2,3.171428571,Medium
741,21,10,8,5,3.428571429,Medium
742,10,1,6,8,5.8,High
743,7,13,5,3,4.185714286,Medium
744,16,14,2,1,0.075,Low
745,8,7,3,4,3.85,Medium
746,6,4,4,6,6.2,High
747,19,11,5,7,1.878947368,Low
748,14,1,8,5,5.942857143,High
749,18,9,9,6,4.366666667,Medium
750,14,3,9,2,6.042857143,High
751,13,1,2,1,3.107692308,Medium
752,3,7,8,3,12.6,High
753,13,11,5,7,2.607692308,Medium
754,11,7,3,1,2.827272727,Medium
755,24,19,4,1,-0.55,Low
756,18,2,5,7,3.766666667,Medium
757,23,3,5,6,3.204347826,Medium
758,20,15,8,5,2.5,Medium
759,15,17,8,8,2.6,Medium
760,28,19,4,9,-0.728571429,Low
761,11,12,9,4,4.827272727,Medium
762,22,7,8,6,3.963636364,Medium
763,22,3,4,8,2.763636364,Medium
764,24,7,5,2,2.35,Medium
765,3,7,6,5,11.6,High
